,Symbol,Name,Industry,IndustryCode
829,CSWI,CSW Industrials Inc,화학,511010
830,OLK,Olink Holding AB (publ) ADR,사무기기,571050
831,PTLO,Portillos Inc Class A,호텔 및 엔터테인먼트,533010
832,IRWD,Ironwood Pharmaceuticals Inc Class A,생명과학 및 메디컬 리서치,562020
833,ROCK,Gibraltar Industries Inc,주택건설,532030
834,MSEX,Middlesex Water Co,수도 유틸리티,591030
835,CRSR,Corsair Gaming Inc,"컴퓨터, 전화 및 가전제품",571060
836,ICFI,ICF International Inc,전문 및 상업 서비스,522030
837,BLMN,Bloomin' Brands Inc,호텔 및 엔터테인먼트,533010
838,RXRX,Recursion Pharmaceuticals Inc Class A,생명과학 및 메디컬 리서치,562020
839,AVDX,Avidxchange Holdings Inc,전문 및 상업 서비스,522030
840,MOMO,Hello Group Inc ADR,소프트웨어 및 IT서비스,572010
841,ME,23andMe Holding Co. Class A,헬스케어 업체 및 서비스,561020
842,BIRD,Allbirds Inc Class A,섬유 및 의류,532020
843,DCBO,Docebo Inc,소프트웨어 및 IT서비스,572010
844,XPER,Xperi Holding Corp,소프트웨어 및 IT서비스,572010
845,CASH,Meta Financial Group Inc,은행,551010
846,VALN,Valneva SE ADR,생명과학 및 메디컬 리서치,562020
847,MNRO,Monro Inc,전문품 상점,534030
848,CCXI,ChemoCentryx Inc,제약,562010
849,OSTK,Overstock.com Inc,소프트웨어 및 IT서비스,572010
850,INFN,Infinera Corp,커뮤니케이션 및 네트워킹,571020
851,IMAB,I-Mab ADR,제약,562010
852,FORTY,Formula Systems 1985 Ltd ADR,소프트웨어 및 IT서비스,572010
853,GCMG,GCM Grosvenor Inc Class A,투자은행 및 서비스,551020
854,MGPI,MGP Ingredients Inc,음료,541010
855,NBTB,NBT Bancorp Inc,은행,551010
856,GBT,Global Blood Therapeutics Inc,생명과학 및 메디컬 리서치,562020
857,PLAY,Dave & Buster's Entertainment Inc,호텔 및 엔터테인먼트,533010
858,LNTH,Lantheus Holdings Inc,헬스케어 장비 및 용품,561010
859,OM,Outset Medical Inc,헬스케어 장비 및 용품,561010
860,CRDO,Credo Technology Group Holding Ltd,반도체 및 반도체 장비,571010
861,AMCX,AMC Networks Inc Class A,미디어 및 출판,533020
862,SPNS,Sapiens International Corporation NV,소프트웨어 및 IT서비스,572010
863,DFH,Dream Finders Homes Inc Class A,주택건설,532030
864,RPAY,Repay Holdings Corp Class A,전문 및 상업 서비스,522030
865,SFIX,Stitch Fix Inc Class A,소프트웨어 및 IT서비스,572010
866,IRBT,iRobot Corp,전자 장비 및 부품,571040
867,SSP,E W Scripps Co Class A,미디어 및 출판,533020
868,SNBR,Sleep Number Corp,가정용품,532040
869,GDYN,Grid Dynamics Holdings Inc Class A,소프트웨어 및 IT서비스,572010
870,MODV,ModivCare Inc,헬스케어 업체 및 서비스,561020
871,SEAT,Vivid Seats Inc Class A,소프트웨어 및 IT서비스,572010
872,AGIO,Agios Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
873,TPTX,Turning Point Therapeutics Inc,생명과학 및 메디컬 리서치,562020
874,EXTR,Extreme Networks Inc,커뮤니케이션 및 네트워킹,571020
875,SYBT,Stock Yards Bancorp Inc,은행,551010
876,FBNC,First Bancorp (North Carolina),은행,551010
877,RIOT,Riot Blockchain Inc,핀테크,573010
878,MGNI,Magnite Inc,소프트웨어 및 IT서비스,572010
879,XPEL,Xpel Inc,자동차 및 자동차 부품,531010
880,VRTU,Virtusa Corp,소프트웨어 및 IT서비스,572010
881,FRTA,Forterra Inc,건축 자재,512020
882,PTNR,Partner Communications Company Ltd ADR,통신 서비스,574010
883,TVTX,Travere Therapeutics Inc,생명과학 및 메디컬 리서치,562020
884,NVEE,NV5 Global Inc,건설 및 엔지니어링,522010
885,HLMN,Hillman Solutions Corp,전문품 상점,534030
886,WABC,Westamerica Bancorp,은행,551010
887,RILY,B Riley Financial Inc,투자은행 및 서비스,551020
888,SUPN,Supernus Pharmaceuticals Inc,제약,562010
889,CFFN,Capitol Federal Financial Inc,은행,551010
890,MVST,Microvast Holdings Inc,"건설장비 및 대형차, 기차, 배",521020
891,BUSE,First Busey Corp,은행,551010
892,TBBK,Bancorp Inc,은행,551010
893,PAYO,Payoneer Global Inc,전문 및 상업 서비스,522030
894,CD,Chindata Group Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
895,TREE,Lendingtree Inc,은행,551010
896,GLNG,Golar LNG Ltd,오일 및 가스 장비 및 서비스,501030
897,GPRE,Green Plains Inc,재생에너지,502010
898,SAVA,Cassava Sciences Inc,생명과학 및 메디컬 리서치,562020
899,EMBK,Embark Technology Inc,"건설장비 및 대형차, 기차, 배",521020
900,MYRG,MYR Group Inc,건설 및 엔지니어링,522010
901,CSIQ,Canadian Solar Inc,재생에너지,502010
902,PTRA,Proterra Inc,자동차 및 자동차 부품,531010
903,SANA,Sana Biotechnology Inc,생명과학 및 메디컬 리서치,562020
904,ALLO,Allogene Therapeutics Inc,생명과학 및 메디컬 리서치,562020
905,COHU,Cohu Inc,반도체 및 반도체 장비,571010
906,VCEL,Vericel Corp,제약,562010
907,HEES,H&E Equipment Services Inc,전문 및 상업 서비스,522030
908,BGCP,BGC Partners Inc Class A,투자은행 및 서비스,551020
909,GDEV,Nexters Inc,소프트웨어 및 IT서비스,572010
910,KALU,Kaiser Aluminum Corp,메탈&마이닝,512010
911,RVMD,Revolution Medicines Inc,생명과학 및 메디컬 리서치,562020
912,RDWR,Radware Ltd,소프트웨어 및 IT서비스,572010
913,OSIS,OSI Systems Inc,전자 장비 및 부품,571040
914,TRS,TriMas Corp,"건설장비 및 대형차, 기차, 배",521020
915,PRTA,Prothena Corporation PLC,생명과학 및 메디컬 리서치,562020
916,PATK,Patrick Industries Inc,주택건설,532030
917,IMKTA,Ingles Markets Inc Class A,식품 및 약품소매,543010
918,ZGNX,Zogenix Inc,제약,562010
919,SHYF,Shyft Group Inc,자동차 및 자동차 부품,531010
920,SCPL,Sciplay Corp Class A,소프트웨어 및 IT서비스,572010
921,CAMT,Camtek Ltd,반도체 및 반도체 장비,571010
922,EWCZ,European Wax Center Inc Class A,"개인, 가정 용품 및 서비스",542010
923,HCAT,Health Catalyst Inc,헬스케어 장비 및 용품,561010
924,ASTE,Astec Industries Inc,"건설장비 및 대형차, 기차, 배",521020
925,ILPT,Industrial Logistics Properties Trust,주택 및 상업용 리츠,601020
926,MNTK,Montauk Renewables Inc,전기 유틸리티,591010
927,WISH,ContextLogic Inc Class A,소프트웨어 및 IT서비스,572010
928,FFWM,First Foundation Inc,은행,551010
929,KFRC,Kforce Inc,전문 및 상업 서비스,522030
930,DVAX,Dynavax Technologies Corp,생명과학 및 메디컬 리서치,562020
931,MLAB,Mesa Laboratories Inc,"건설장비 및 대형차, 기차, 배",521020
932,DCOM,Dime Community Bancshares Inc,은행,551010
933,ISEE,Iveric Bio Inc,생명과학 및 메디컬 리서치,562020
934,NSTG,NanoString Technologies Inc,헬스케어 장비 및 용품,561010
935,MORF,Morphic Holding Inc,제약,562010
936,STRA,Strategic Education Inc,교육서비스,631010
937,SOVO,Sovos Brands Inc,식품 및 담배,541020
938,VIACA,ViacomCBS Inc Class A,미디어 및 출판,533020
939,BAND,Bandwidth Inc Class A,통신 서비스,574010
940,CENX,Century Aluminum Co,메탈&마이닝,512010
941,SNCY,Sun Country Airlines Holdings Inc,운송업,524060
942,OFLX,Omega Flex Inc,"건설장비 및 대형차, 기차, 배",521020
943,HSKA,Heska Corp,헬스케어 장비 및 용품,561010
944,SLGC,Somalogic Inc Class A,생명과학 및 메디컬 리서치,562020
945,ACMR,ACM Research Inc Class A,반도체 및 반도체 장비,571010
946,SCHL,Scholastic Corp,미디어 및 출판,533020
947,MRTN,Marten Transport Ltd,화물 및 물류 서비스,524050
948,SSYS,Stratasys Ltd,전자 장비 및 부품,571040
949,TTMI,TTM Technologies Inc,반도체 및 반도체 장비,571010
950,ROCC,Ranger Oil Corp Class A,오일 및 가스,501020
951,GOGO,Gogo Inc,통신 서비스,574010
952,BCYC,Bicycle Therapeutics PLC ADR,생명과학 및 메디컬 리서치,562020
953,NYMT,New York Mortgage Trust Inc,주택 및 상업용 리츠,601020
954,PRIM,Primoris Services Corp,건설 및 엔지니어링,522010
955,VNET,VNET Group Inc ADR,소프트웨어 및 IT서비스,572010
956,FFIE,Faraday Future Intelligent Electric Inc,자동차 및 자동차 부품,531010
957,TIL,Instil Bio Inc,생명과학 및 메디컬 리서치,562020
958,LILM,Lilium NV Class A,우주항공 및 국방,521010
959,SBSI,Southside Bancshares Inc,은행,551010
960,CNOB,ConnectOne Bancorp Inc,은행,551010
961,EIGI,Endurance International Group Holdings Inc,소프트웨어 및 IT서비스,572010
962,SNPO,Snap One Holdings Corp,전자 장비 및 부품,571040
963,AVAV,AeroVironment Inc,우주항공 및 국방,521010
964,ERAS,Erasca Inc,생명과학 및 메디컬 리서치,562020
965,OCSL,Oaktree Specialty Lending Corp,다양한 금융서비스,555010
966,BBBY,Bed Bath & Beyond Inc,전문품 상점,534030
967,ROAD,Construction Partners Inc Class A,건설 및 엔지니어링,522010
968,SGH,SMART Global Holdings Inc.,반도체 및 반도체 장비,571010
969,APR,Apria Inc,헬스케어 장비 및 용품,561010
970,DOMO,Domo Inc Class B,소프트웨어 및 IT서비스,572010
971,BBIO,BridgeBio Pharma Inc,제약,562010
972,AFYA,Afya Ltd Class A,비즈니스교육,631030
973,BRKL,Brookline Bancorp Inc,은행,551010
974,OCFC,OceanFirst Financial Corp,은행,551010
975,VECO,Veeco Instruments Inc,반도체 및 반도체 장비,571010
976,AMRN,Amarin Corporation PLC ADR,생명과학 및 메디컬 리서치,562020
977,FCEL,Fuelcell Energy Inc,재생에너지,502010
978,FWONA,Liberty Media Corp Series A,미디어 및 출판,533020
979,GPRO,GoPro Inc Class A,"컴퓨터, 전화 및 가전제품",571060
980,FGEN,FibroGen Inc,생명과학 및 메디컬 리서치,562020
981,KRYS,Krystal Biotech Inc,생명과학 및 메디컬 리서치,562020
982,HCSG,Healthcare Services Group Inc,전문 및 상업 서비스,522030
983,XENE,Xenon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
984,TCBK,Trico Bancshares,은행,551010
985,CLDX,Celldex Therapeutics Inc,생명과학 및 메디컬 리서치,562020
986,RDNT,RadNet Inc,헬스케어 업체 및 서비스,561020
987,TBLA,Taboola.com Ltd,소프트웨어 및 IT서비스,572010
988,SVC,Service Properties Trust,주택 및 상업용 리츠,601020
989,RXDX,Prometheus Biosciences Inc,생명과학 및 메디컬 리서치,562020
990,VERV,Verve Therapeutics Inc,생명과학 및 메디컬 리서치,562020
991,MBIN,Merchants Bancorp,은행,551010
992,AVID,Avid Technology Inc,소프트웨어 및 IT서비스,572010
993,SNEX,Stonex Group Inc,투자은행 및 서비스,551020
994,NMFC,New Mountain Finance Corp,다양한 금융서비스,555010
995,QRTEP,Qurate Retail Inc PRF,다양한 소매업,534020
996,GDEN,Golden Entertainment Inc,호텔 및 엔터테인먼트,533010
997,MBUU,Malibu Boats Inc Class A,레저 상품,532050
998,CLNE,Clean Energy Fuels Corp,오일 및 가스,501020
999,ANDE,Andersons Inc,식품 및 담배,541020
1000,ATRA,Atara Biotherapeutics Inc,생명과학 및 메디컬 리서치,562020
1001,GIII,G-III Apparel Group Ltd,섬유 및 의류,532020
1002,PTGX,Protagonist Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1003,GOEV,Canoo Inc Class A,자동차 및 자동차 부품,531010
1004,WKME,Walkme Ltd,소프트웨어 및 IT서비스,572010
1005,AMTB,Amerant Bancorp Inc Class A,은행,551010
1006,PLMR,Palomar Holdings Inc,보험,553010
1007,NXGN,NextGen Healthcare Inc,소프트웨어 및 IT서비스,572010
1008,REE,REE Automotive Ltd Class A,자동차 및 자동차 부품,531010
1009,LYEL,Lyell Immunopharma Inc,생명과학 및 메디컬 리서치,562020
1010,CRON,Cronos Group Inc,제약,562010
1011,WRLD,World Acceptance Corp,은행,551010
1012,CMCO,Columbus McKinnon Corp,"건설장비 및 대형차, 기차, 배",521020
1013,LBAI,Lakeland Bancorp Inc,은행,551010
1014,SRCE,1st Source Corp,은행,551010
1015,ARRY,Array Technologies Inc,재생에너지,502010
1016,TVTY,Tivity Health Inc,헬스케어 업체 및 서비스,561020
1017,AMRS,Amyris Inc,화학,511010
1018,SAFT,Safety Insurance Group Inc,보험,553010
1019,ALKT,Alkami Technology Inc,소프트웨어 및 IT서비스,572010
1020,OMP,Oasis Midstream Partners LP Unit,오일 및 가스 장비 및 서비스,501030
1021,STBA,S&T Bancorp Inc,은행,551010
1022,SUMO,Sumo Logic Inc,소프트웨어 및 IT서비스,572010
1023,ITOS,Iteos Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1024,ALHC,Alignment Healthcare Inc,헬스케어 업체 및 서비스,561020
1025,CHCO,City Holding Co,은행,551010
1026,AMPH,Amphastar Pharmaceuticals Inc,제약,562010
1027,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,562020
1028,NGM,NGM Biopharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1029,ARCE,Arco Platform Ltd Class A,비즈니스교육,631030
1030,OPI,Office Properties Income Trust,주택 및 상업용 리츠,601020
1031,TGTX,TG Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1032,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,533010
1033,SCWX,SecureWorks Corp Class A,소프트웨어 및 IT서비스,572010
1034,RADI,Radius Global Infrastructure Inc Class A,부동산 운영 관리,601010
1035,PLUS,ePlus inc,소프트웨어 및 IT서비스,572010
1036,ADUS,Addus Homecare Corp,헬스케어 업체 및 서비스,561020
1037,ESTA,Establishment Labs Holdings Inc,헬스케어 장비 및 용품,561010
1038,CDXS,Codexis Inc,생명과학 및 메디컬 리서치,562020
1039,ARHS,Arhaus Inc Class A,가정용품,532040
1040,PFBC,Preferred Bank,은행,551010
1041,HTLD,Heartland Express Inc,화물 및 물류 서비스,524050
1042,ALEC,Alector Inc,생명과학 및 메디컬 리서치,562020
1043,GABC,German American Bancorp Inc,은행,551010
1044,ENTA,Enanta Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1045,IMOS,ChipMOS Technologies Inc ADR,반도체 및 반도체 장비,571010
1046,QQQX,Nuveen Nasdaq 100 Dynamic Overwrite Fund,다양한 금융서비스,555010
1047,ASTR,Astra Space Inc Class A,우주항공 및 국방,521010
1048,APOG,Apogee Enterprises Inc,주택건설,532030
1049,MCRI,Monarch Casino & Resort Inc,호텔 및 엔터테인먼트,533010
1050,KARO,Karooooo Ltd,소프트웨어 및 IT서비스,572010
1051,CLMT,Calumet Specialty Products Partners LP Unit,오일 및 가스,501020
1052,HLTH,Cue Health Inc,소프트웨어 및 IT서비스,572010
1053,CNXN,PC Connection Inc,통합 하드웨어 및 소프트웨어,571070
1054,INTA,Intapp Inc,소프트웨어 및 IT서비스,572010
1055,BRLT,Brilliant Earth Group Inc Class A,전문품 상점,534030
1056,WULF,Terawulf Inc,핀테크,573010
1057,INVA,Innoviva Inc,제약,562010
1058,HYZN,Hyzon Motors Inc Class A,"건설장비 및 대형차, 기차, 배",521020
1059,DCFC,Tritium Dcfc Ltd,"건설장비 및 대형차, 기차, 배",521020
1060,SHEN,Shenandoah Telecommunications Co,통신 서비스,574010
1061,ATRI,Atrion Corp,헬스케어 장비 및 용품,561010
1062,CHEF,Chefs' Warehouse Inc,식품 및 약품소매,543010
1063,NCBS,Nicolet Bankshares Inc,은행,551010
1064,IMGN,ImmunoGen Inc,생명과학 및 메디컬 리서치,562020
1065,PRTC,PureTech Health PLC ADR,생명과학 및 메디컬 리서치,562020
1066,BLFS,BioLife Solutions Inc,헬스케어 장비 및 용품,561010
1067,PUBM,PubMatic Inc Class A,소프트웨어 및 IT서비스,572010
1068,ROVR,Rover Group Inc Class A,"개인, 가정 용품 및 서비스",542010
1069,API,Agora Inc ADR,소프트웨어 및 IT서비스,572010
1070,PROC,Procaps Group SA,기타 금융업,556010
1071,AMLX,Amylyx Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1072,AOSL,Alpha and Omega Semiconductor Ltd,반도체 및 반도체 장비,571010
1073,PFC,Premier Financial Corp (OHIO),은행,551010
1074,ICHR,Ichor Holdings Ltd,반도체 및 반도체 장비,571010
1075,TSAT,Telesat Corp Class A,통신 서비스,574010
1076,ACCD,Accolade Inc,헬스케어 업체 및 서비스,561020
1077,CLOV,Clover Health Investments Corp Class A,헬스케어 장비 및 용품,561010
1078,RGNX,Regenxbio Inc,생명과학 및 메디컬 리서치,562020
1079,CCSI,Consensus Cloud Solutions Inc,소프트웨어 및 IT서비스,572010
1080,POSH,Poshmark Inc Class A,소프트웨어 및 IT서비스,572010
1081,HERA,FTAC Hera Acquisition Corp Class A,기타 금융업,556010
1082,BATRK,Liberty Media Corp Series C,미디어 및 출판,533020
1083,MATW,Matthews International Corp Class A,미디어 및 출판,533020
1084,ERII,Energy Recovery Inc,"건설장비 및 대형차, 기차, 배",521020
1085,MTLS,Materialise NV ADR,소프트웨어 및 IT서비스,572010
1086,SCHN,Schnitzer Steel Industries Inc Class A,메탈&마이닝,512010
1087,SLDP,Solid Power Inc Class A,"건설장비 및 대형차, 기차, 배",521020
1088,VREX,Varex Imaging Corp,헬스케어 장비 및 용품,561010
1089,MRUS,Merus NV,생명과학 및 메디컬 리서치,562020
1090,HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,571020
1091,GGAL,Grupo Financiero Galicia SA ADR,은행,551010
1092,SRNE,Sorrento Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1093,FORR,Forrester Research Inc,미디어 및 출판,533020
1094,PLAB,Photronics Inc,반도체 및 반도체 장비,571010
1095,SILK,Silk Road Medical Inc,헬스케어 장비 및 용품,561010
1096,CHY,Calamos Convertible & High Income Fund,다양한 금융서비스,555010
1097,GGPI,Gores Guggenheim Inc Class A,기타 금융업,556010
1098,TSC,TriState Capital Holdings Inc,은행,551010
1099,CDMO,Avid Bioservices Inc,제약,562010
1100,NVTS,Navitas Semiconductor Corp,반도체 및 반도체 장비,571010
1101,TWOU,2U Inc,소프트웨어 및 IT서비스,572010
1102,MOR,MorphoSys AG ADR,생명과학 및 메디컬 리서치,562020
1103,PLCE,Children's Place Inc,전문품 상점,534030
1104,CCCC,C4 Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1105,CLBT,Cellebrite DI Ltd,소프트웨어 및 IT서비스,572010
1106,TRMR,Tremor International Ltd ADR,미디어 및 출판,533020
1107,THRY,Thryv Holdings Inc,미디어 및 출판,533020
1108,AMSF,Amerisafe Inc,보험,553010
1109,NRC,National Research Corp,전문 및 상업 서비스,522030
1110,WASH,Washington Trust Bancorp Inc,은행,551010
1111,ALTM,Altus Midstream Co Class A,오일 및 가스 장비 및 서비스,501030
1112,LAND,Gladstone Land Corp,주택 및 상업용 리츠,601020
1113,AFIN,American Finance Trust Inc Class A,주택 및 상업용 리츠,601020
1114,AVAH,Aveanna Healthcare Holdings Inc,헬스케어 업체 및 서비스,561020
1115,JRVR,James River Group Holdings Ltd,보험,553010
1116,QTRX,Quanterix Corp,헬스케어 장비 및 용품,561010
1117,SNCE,Science 37 Holdings Inc,소프트웨어 및 IT서비스,572010
1118,ZUMZ,Zumiez Inc,전문품 상점,534030
1119,KROS,Keros Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1120,CNDT,Conduent Inc,소프트웨어 및 IT서비스,572010
1121,PDFS,PDF Solutions Inc,반도체 및 반도체 장비,571010
1122,OBNK,Origin Bancorp Inc,은행,551010
1123,IESC,IES Holdings Inc,건설 및 엔지니어링,522010
1124,RBCAA,Republic Bancorp Inc Class A,은행,551010
1125,FLWS,1-800-Flowers.Com Inc Class A,전문품 상점,534030
1126,OXLC,Oxford Lane Capital Corp,다양한 금융서비스,555010
1127,RCKT,Rocket Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1128,KRNY,Kearny Financial Corp,은행,551010
1129,AVPT,AvePoint Inc Class A,소프트웨어 및 IT서비스,572010
1130,AMWD,American Woodmark Corp,주택건설,532030
1131,PCVX,Vaxcyte Inc,생명과학 및 메디컬 리서치,562020
1132,SHCR,Sharecare Inc Class A,소프트웨어 및 IT서비스,572010
1133,ARKO,Arko Corp. Class A,오일 및 가스,501020
1134,TTCF,Tattooed Chef Inc Class A,식품 및 담배,541020
1135,AVO,Mission Produce Inc,식품 및 담배,541020
1136,RMR,RMR Group Inc Class A,부동산 운영 관리,601010
1137,MDGL,Madrigal Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1138,ATLC,Atlanticus Holdings Corp,은행,551010
1139,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,522030
1140,TGLS,Tecnoglass Inc,주택건설,532030
1141,JBSS,John B Sanfilippo & Son Inc,식품 및 담배,541020
1142,HMST,HomeStreet Inc,은행,551010
1143,BVS,Bioventus Inc Class A,헬스케어 장비 및 용품,561010
1144,CHI,Calamos Convertible Opportunities and Income Fund,다양한 금융서비스,555010
1145,NIU,NIU Technologies ADR,자동차 및 자동차 부품,531010
1146,ATEC,Alphatec Holdings Inc,헬스케어 장비 및 용품,561010
1147,ASTL,Algoma Steel Group Inc,메탈&마이닝,512010
1148,DENN,Denny's Corp,호텔 및 엔터테인먼트,533010
1149,SCVL,Shoe Carnival Inc,전문품 상점,534030
1150,VRM,Vroom Inc,소프트웨어 및 IT서비스,572010
1151,TMCI,Treace Medical Concepts Inc,헬스케어 장비 및 용품,561010
1152,ASTS,AST SpaceMobile Inc Class A,통신 서비스,574010
1153,PAE,PAE Inc Class A,우주항공 및 국방,521010
1154,RANI,Rani Therapeutics Holdings Inc Class A,생명과학 및 메디컬 리서치,562020
1155,PEBO,Peoples Bancorp Inc,은행,551010
1156,IMCR,Immunocore Holdings PLC ADR,생명과학 및 메디컬 리서치,562020
1157,CONX,CONX Corp Class A,기타 금융업,556010
1158,AXSM,Axsome Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1159,FARO,FARO Technologies Inc,전자 장비 및 부품,571040
1160,HBNC,Horizon Bancorp Inc,은행,551010
1161,AUDC,AudioCodes Ltd,커뮤니케이션 및 네트워킹,571020
1162,XENT,Intersect Ent Inc,헬스케어 장비 및 용품,561010
1163,BTRS,BTRS Holdings Inc,전문 및 상업 서비스,522030
1164,MOLN,Molecular Partners AG ADR,생명과학 및 메디컬 리서치,562020
1165,ATEX,Anterix Inc,통신 서비스,574010
1166,GSM,Ferroglobe PLC,메탈&마이닝,512010
1167,MGIC,Magic Software Enterprises Ltd,소프트웨어 및 IT서비스,572010
1168,CSTL,Castle Biosciences Inc,헬스케어 장비 및 용품,561010
1169,VIVO,Meridian Bioscience Inc,헬스케어 장비 및 용품,561010
1170,KIDS,OrthoPediatrics Corp,헬스케어 장비 및 용품,561010
1171,AEPPZ,American Elec Pwr Units,전기 유틸리티,591010
1172,NESR,National Energy Services Reunited Corp,오일 및 가스 장비 및 서비스,501030
1173,ORGO,Organogenesis Holdings Inc Class A,제약,562010
1174,QCRH,QCR Holdings Inc,은행,551010
1175,PWP,Perella Weinberg Partners Class A,투자은행 및 서비스,551020
1176,RVNC,Revance Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1177,SNDL,Sundial Growers Inc,제약,562010
1178,ABTX,Allegiance Bancshares Inc,은행,551010
1179,NRDS,Nerdwallet Inc Class A,소프트웨어 및 IT서비스,572010
1180,LMAT,LeMaitre Vascular Inc,헬스케어 장비 및 용품,561010
1181,GLDD,Great Lakes Dredge & Dock Corp,건설 및 엔지니어링,522010
1182,CHRS,Coherus BioSciences Inc,생명과학 및 메디컬 리서치,562020
1183,INBX,Inhibrx Inc,생명과학 및 메디컬 리서치,562020
1184,AVXL,Anavex Life Sciences Corp,생명과학 및 메디컬 리서치,562020
1185,EBIX,Ebix Inc,소프트웨어 및 IT서비스,572010
1186,RETA,Reata Pharmaceuticals Inc Class A,생명과학 및 메디컬 리서치,562020
1187,SPTN,SpartanNash Co,식품 및 약품소매,543010
1188,AGYS,Agilysys Inc,소프트웨어 및 IT서비스,572010
1189,SGML,Sigma Lithium Corp,메탈&마이닝,512010
1190,REPL,Replimune Group Inc,생명과학 및 메디컬 리서치,562020
1191,ADTN,ADTRAN Inc,커뮤니케이션 및 네트워킹,571020
1192,UVSP,Univest Financial Corp,은행,551010
1193,HUT,Hut 8 Mining Corp,핀테크,573010
1194,GGPIU,Gores Guggenheim Units,기타 금융업,556010
1195,INDI,indie Semiconductor Inc Class A,반도체 및 반도체 장비,571010
1196,BNR,Burning Rock Biotech Ltd ADR,헬스케어 업체 및 서비스,561020
1197,JOUT,Johnson Outdoors Inc Class A,레저 상품,532050
1198,HERAU,FTAC Hera Acquisition Units,기타 금융업,556010
1199,PRCH,Porch Group Inc Class A,소프트웨어 및 IT서비스,572010
1200,MNKD,MannKind Corp,생명과학 및 메디컬 리서치,562020
1201,HFWA,Heritage Financial Corp,은행,551010
1202,ECOL,US Ecology Inc,전문 및 상업 서비스,522030
1203,ALTA,Altabancorp,은행,551010
1204,KURA,Kura Oncology Inc,생명과학 및 메디컬 리서치,562020
1205,QNST,Quinstreet Inc,미디어 및 출판,533020
1206,BASE,Couchbase Inc,소프트웨어 및 IT서비스,572010
1207,WW,WW International Inc,"개인, 가정 용품 및 서비스",542010
1208,SDC,SmileDirectClub Inc Class A,헬스케어 장비 및 용품,561010
1209,EH,EHang Holdings Ltd ADR,우주항공 및 국방,521010
1210,GOOD,Gladstone Commercial Corp,주택 및 상업용 리츠,601020
1211,AFINO,American Finance Trust Inc PRF,주택 및 상업용 리츠,601020
1212,LASR,nLIGHT Inc,반도체 및 반도체 장비,571010
1213,HOLI,Hollysys Automation Technologies Ltd,"건설장비 및 대형차, 기차, 배",521020
1214,BWMX,Betterware de Mexico SAB de CV,다양한 소매업,534020
1215,HSII,Heidrick & Struggles International Inc,전문 및 상업 서비스,522030
1216,AINV,Apollo Investment Corp,투자은행 및 서비스,551020
1217,GHRS,GH Research PLC,생명과학 및 메디컬 리서치,562020
1218,BZUN,Baozun Inc ADR,소프트웨어 및 IT서비스,572010
1219,COWN,Cowen Inc Class A,투자은행 및 서비스,551020
1220,STRC,Sarcos Technology and Robotics Corp,"건설장비 및 대형차, 기차, 배",521020
1221,CLCT,Collectors Universe Inc,전문 및 상업 서비스,522030
1222,NN,NextNav Inc,"컴퓨터, 전화 및 가전제품",571060
1223,CERS,Cerus Corp,헬스케어 장비 및 용품,561010
1224,WETF,Wisdom Tree Investments Inc,투자은행 및 서비스,551020
1225,HRTX,Heron Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1226,ANAB,AnaptysBio Inc,생명과학 및 메디컬 리서치,562020
1227,SEER,Seer Inc Class A,사무기기,571050
1228,GRPN,Groupon Inc,다양한 소매업,534020
1229,HA,Hawaiian Holdings Inc,운송업,524060
1230,HIBB,Hibbett Inc,전문품 상점,534030
1231,DAWN,Day One Biopharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1232,TCX,Tucows Inc,소프트웨어 및 IT서비스,572010
1233,DOYU,Douyu International Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
1234,CRNX,Crinetics Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1235,BROG,Brooge Energy Ltd,오일 및 가스 장비 및 서비스,501030
1236,FNKO,Funko Inc Class A,레저 상품,532050
1237,FWRG,First Watch Restaurant Group Inc,호텔 및 엔터테인먼트,533010
1238,AEPPL,American Elec Pwr Co Units,전기 유틸리티,591010
1239,ZEAL,Zealand Pharma A/S ADR,생명과학 및 메디컬 리서치,562020
1240,NNDM,Nano Dimension Ltd ADR,전자 장비 및 부품,571040
